,Kruskal_time,Prim_time,Num_of_nodes,Completeness
0,0.01309,0.03712,500.0,0.01
1,0.01269,0.03586,500.0,0.01
2,0.01236,0.03597,500.0,0.01
3,0.07979,0.29411,500.0,0.11
4,0.07924,0.29361,500.0,0.11
5,0.082,0.32886,500.0,0.11
6,0.37739,0.54736,500.0,0.21
7,0.37452,0.55057,500.0,0.21
8,0.38862,0.55289,500.0,0.21
9,0.88268,0.80601,500.0,0.31
10,0.84077,0.80129,500.0,0.31
11,0.90297,0.82144,500.0,0.31
12,1.54524,1.08664,500.0,0.41
13,1.46862,1.05342,500.0,0.41
14,1.56277,1.07303,500.0,0.41
15,2.36982,1.33627,500.0,0.51
16,2.248,1.30321,500.0,0.51
17,2.31087,1.34372,500.0,0.51
18,3.36983,1.70786,500.0,0.61
19,3.27207,1.57108,500.0,0.61
20,3.32166,1.57339,500.0,0.61
21,4.60532,1.93243,500.0,0.71
22,4.39846,1.83509,500.0,0.71
23,4.53998,1.85924,500.0,0.71
24,6.01236,2.13754,500.0,0.81
25,5.73821,2.07489,500.0,0.81
26,5.60092,2.08406,500.0,0.81
27,7.49173,2.38694,500.0,0.91
28,7.20991,2.33734,500.0,0.91
29,7.28598,2.53478,500.0,0.91
30,0.01726,0.06123,500.0,0.02
31,0.01744,0.06175,500.0,0.02
32,0.02209,0.087,500.0,0.03
33,0.0221,0.0874,500.0,0.03
34,0.02824,0.11609,500.0,0.04
35,0.02848,0.11503,500.0,0.04
36,0.03514,0.14536,500.0,0.05
37,0.0319,0.1355,500.0,0.05
38,0.03941,0.16695,500.0,0.06
39,0.03888,0.16426,500.0,0.06
40,0.04609,0.19395,500.0,0.07
41,0.04431,0.18868,500.0,0.07
42,0.05166,0.21636,500.0,0.08
43,0.05222,0.21421,500.0,0.08
44,0.05854,0.23897,500.0,0.09
45,0.05873,0.23669,500.0,0.09
46,0.06698,0.26327,500.0,0.1
47,0.0679,0.26742,500.0,0.1
48,0.09251,0.31362,500.0,0.12
49,0.09547,0.32056,500.0,0.12
50,0.1096,0.34013,500.0,0.13
