,Kruskal_time,Prim_time,Num_of_nodes,Completeness
0,0.23381,0.22146,220.0,1.0
1,0.23013,0.22156,220.0,2.0
2,0.23113,0.22139,220.0,3.0
3,0.22933,0.22141,220.0,4.0
4,0.23107,0.22139,220.0,5.0
5,0.23582,0.22127,220.0,6.0
6,0.22844,0.22132,220.0,7.0
7,0.2305,0.2213,220.0,8.0
8,0.22881,0.22132,220.0,9.0
9,0.22877,0.22127,220.0,10.0
10,0.23127,0.22126,220.0,1.0
11,0.23943,0.22155,220.0,2.0
12,0.23088,0.22124,220.0,3.0
13,0.23074,0.22126,220.0,4.0
14,0.23435,0.22112,220.0,5.0
15,0.23526,0.22155,220.0,6.0
16,0.23002,0.22132,220.0,7.0
17,0.23309,0.22166,220.0,8.0
18,0.23602,0.2214,220.0,9.0
19,0.23422,0.22152,220.0,10.0
20,0.2307,0.22139,220.0,1.0
21,0.23076,0.22158,220.0,2.0
22,0.2348,0.22131,220.0,3.0
23,0.23251,0.22175,220.0,4.0
24,0.22898,0.22135,220.0,5.0
25,0.23485,0.22229,220.0,6.0
26,0.22966,0.22331,220.0,7.0
27,0.23139,0.22311,220.0,8.0
28,0.22851,0.22147,220.0,9.0
29,0.2294,0.22182,220.0,10.0
30,0.23078,0.22157,220.0,1.0
31,0.2331,0.22177,220.0,2.0
32,0.23562,0.22154,220.0,3.0
33,0.23227,0.22165,220.0,4.0
34,0.22859,0.22154,220.0,5.0
35,0.22902,0.2217,220.0,6.0
36,0.23233,0.22158,220.0,7.0
37,0.23614,0.22545,220.0,8.0
38,0.23783,0.2248,220.0,9.0
39,0.24825,0.22471,220.0,10.0
40,0.23304,0.23173,220.0,1.0
41,0.2345,0.23258,220.0,2.0
42,0.24291,0.23073,220.0,3.0
43,0.23094,0.22277,220.0,4.0
44,0.23995,0.22403,220.0,5.0
45,0.23061,0.22484,220.0,6.0
46,0.2439,0.22231,220.0,7.0
47,0.23698,0.22444,220.0,8.0
48,0.24279,0.22431,220.0,9.0
49,0.24325,0.22874,220.0,10.0
50,0.17602,0.1938,210.0,1.0
51,0.17102,0.19298,210.0,2.0
52,0.16981,0.19284,210.0,3.0
53,0.17248,0.19581,210.0,4.0
54,0.17637,0.19409,210.0,5.0
55,0.17126,0.19315,210.0,6.0
56,0.17188,0.20658,210.0,7.0
57,0.18865,0.19297,210.0,8.0
58,0.17061,0.19536,210.0,9.0
59,0.1752,0.1929,210.0,10.0
60,0.16978,0.19331,210.0,1.0
61,0.17441,0.19696,210.0,2.0
62,0.17871,0.19516,210.0,3.0
63,0.17551,0.19513,210.0,4.0
64,0.17248,0.19538,210.0,5.0
65,0.17241,0.19418,210.0,6.0
66,0.176,0.1939,210.0,7.0
67,0.17401,0.19459,210.0,8.0
68,0.17157,0.19451,210.0,9.0
69,0.17174,0.19284,210.0,10.0
70,0.1742,0.19327,210.0,1.0
71,0.17298,0.19288,210.0,2.0
72,0.17032,0.19276,210.0,3.0
73,0.17107,0.19273,210.0,4.0
74,0.17079,0.19284,210.0,5.0
75,0.1709,0.19328,210.0,6.0
76,0.17266,0.19267,210.0,7.0
77,0.1708,0.19274,210.0,8.0
78,0.17338,0.19282,210.0,9.0
79,0.17096,0.19293,210.0,10.0
80,0.17045,0.19332,210.0,1.0
81,0.17069,0.19272,210.0,2.0
82,0.1693,0.19274,210.0,3.0
83,0.17428,0.19279,210.0,4.0
84,0.17086,0.19297,210.0,5.0
85,0.16969,0.19321,210.0,6.0
86,0.17431,0.19264,210.0,7.0
87,0.1705,0.19305,210.0,8.0
88,0.17529,0.19312,210.0,9.0
89,0.17067,0.19304,210.0,10.0
90,0.17046,0.19281,210.0,1.0
91,0.17128,0.19273,210.0,2.0
92,0.17161,0.19302,210.0,3.0
93,0.17209,0.19441,210.0,4.0
94,0.1705,0.193,210.0,5.0
95,0.17419,0.1927,210.0,6.0
96,0.17054,0.19274,210.0,7.0
97,0.17045,0.19261,210.0,8.0
98,0.17031,0.1931,210.0,9.0
99,0.17068,0.19293,210.0,10.0
100,0.12421,0.17077,200.0,1.0
101,0.12484,0.17056,200.0,2.0
102,0.12043,0.16706,200.0,3.0
103,0.12278,0.17094,200.0,4.0
104,0.12442,0.17218,200.0,5.0
105,0.12395,0.16807,200.0,6.0
106,0.12533,0.17467,200.0,7.0
107,0.12473,0.17011,200.0,8.0
108,0.12358,0.18516,200.0,9.0
109,0.13135,0.17673,200.0,10.0
110,0.13163,0.19574,200.0,1.0
111,0.1307,0.19332,200.0,2.0
112,0.20142,0.30377,200.0,3.0
113,0.22632,0.24564,200.0,4.0
